id,insidePublicLB,rho100,yValue
1,True,-59.25187,71.34112
12,True,-59.19791,109.30903
23,True,-59.18951,115.21953
28,True,-59.2225,92.00675
42,True,-59.22857,87.73572
43,True,-59.16879,129.79876
45,True,-59.21177,99.55671
57,True,-59.18837,116.02167
72,True,-59.19615,110.54742
78,True,-59.1752,125.28849
88,True,-59.22488,90.33211
89,True,-59.16772,130.55165
93,True,-59.2029,105.79792
94,True,-59.20681,103.04672
104,True,-59.22197,92.37968
105,True,-59.19905,108.5069
110,True,-59.23485,83.31692
253,True,-59.18849,115.93724
259,True,-59.22061,93.33662
262,True,-59.24617,75.35182
337,True,-59.20939,101.23135
409,True,-59.20939,91.00760
437,True,-59.20939,85.96960
493,True,-59.20939,108.40135
973,True,-59.20153,106.76189
1001,True,-59.19458,111.65212
1004,True,-59.22326,91.472
1008,True,-59.20159,106.71967
1009,True,-59.19946,108.21841
1644,True,-59.21236,112.93977
1652,True,-59.22567,89.77625
3977,True,-59.16554,132.08556
8002,True,-59.21704,95.84858
8007,True,-59.22899,87.44019
8416,True,-59.21562,96.84773
